"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.02,1.8999398340944387E-004,1.1399794611756418E-006,1.8999398340944387E-004,1.9189995677325593E-002,1.8885883342799833E-004,1.8772368344655279E-004
0.04,7.7989860527096454E-004,9.8792489824985435E-006,7.7989860527096454E-004,3.9779984153425499E-002,7.7011008761127399E-004,7.6032156995158333E-004
0.06,1.7694779116011069E-003,3.4214045642926634E-005,1.7694779116011069E-003,6.0769961172040740E-002,1.7357460339573528E-003,1.7020141563135983E-003
0.08,3.1583360838715532E-003,8.2134368518499797E-005,3.1583360838715532E-003,8.2159928519490777E-002,3.0777592313701789E-003,2.9971823788688041E-003
0.1,4.9459175973312602E-003,1.6162078278924135E-004,4.9459175973312602E-003,1.0394989754638041E-001,4.7881426774868561E-003,4.6303677576424529E-003
0.12,7.1315074432089448E-003,2.8064122761949220E-004,7.1315074432089448E-003,1.2613989258657093E-001,6.8588900201952087E-003,6.5862725971814751E-003
0.14,9.7142314147070606E-003,4.4714782908848266E-004,9.7142314147070606E-003,1.4872995444008275E-001,9.2819958281498607E-003,8.8497602415926607E-003
0.16,1.2693056456672873E-002,6.6907371944592781E-004,1.2693056456672873E-002,1.7172014391993223E-001,1.2049455919004642E-002,1.1405855381336408E-002
0.18,1.6066791078806739E-002,9.5432986396490219E-004,1.6066791078806739E-002,1.9511054546290749E-001,1.5153267744079312E-002,1.4239744409351888E-002
0.2,1.9834085832242321E-002,1.3108018966612065E-003,1.9834085832242321E-002,2.1890127080429217E-001,1.8585430828178824E-002,1.7336775824115327E-002
0.22,2.3993433849308188E-002,1.7463469661449041E-003,2.3993433849308188E-002,2.4309246271654891E-001,2.2337947263283611E-002,2.0682460677259037E-002
0.24,2.8543171446254734E-002,2.2687905928656356E-003,2.8543171446254734E-002,2.6768429881197875E-001,2.6402822254829744E-002,2.4262473063404760E-002
0.26,3.3481478788705540E-002,2.8859235390087789E-003,3.3481478788705540E-002,2.9267699540937858E-001,3.0772064719298300E-002,2.8062650649891066E-002
0.28,3.8806380619566858E-002,3.6054986922944531E-003,3.8806380619566858E-002,3.1807081146472321E-001,3.5437687931833661E-002,3.2068995244100486E-002
0.3,4.4515747049104069E-002,4.4352279649257928E-003,4.4515747049104069E-002,3.4386605256590441E-001,4.0391710222611288E-002,3.6267673396118492E-002
0.32,5.0607294406869258E-002,5.3827792089269017E-003,5.0607294406869258E-002,3.7006307499156854E-001,4.5626155720675847E-002,4.0645017034482436E-002
0.34,5.7078586155138854E-002,6.4557731491042712E-003,5.7078586155138854E-002,3.9666228983409851E-001,5.1133055143972213E-002,4.5187524132805579E-002
0.36,6.3927033863496255E-002,7.6617803348584673E-003,6.3927033863496255E-002,4.2366416718679600E-001,5.6904446634291492E-002,4.9881859405086729E-002
0.38,7.1149898244169577E-002,9.0083181120653201E-003,7.1149898244169577E-002,4.5106924039532870E-001,6.2932376635856824E-002,5.4714855027544057E-002
0.4,7.8744290247710069E-002,1.0502847616237784E-002,7.8744290247710069E-002,4.7887811037351502E-001,6.9208900816273580E-002,5.9673511384837008E-002
0.42,8.6707172218573603E-002,1.2152770788171226E-002,8.6707172218573603E-002,5.0709144998353095E-001,7.5726085028570811E-002,6.4744997838567936E-002
0.44,9.5035359110142145E-002,1.3965427413265809E-002,9.5035359110142145E-002,5.3571000848063244E-001,8.2476006313062150E-002,6.9916653515982030E-002
0.46,1.0372551975870012E-001,1.5948092185710163E-002,1.0372551975870012E-001,5.6473461602250041E-001,8.9450753937755159E-002,7.5175988116810102E-002
