"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.4,-2.7668990868632770E+000,2.7668990868632708E+000,9.9999999999999964E+000,0.0000000000000000E+000
2.4,-2.7668990868632992E+000,2.7668990868632726E+000,1.0000000000000004E+001,0.0000000000000000E+000
3.4,-2.7668990868633285E+000,2.7668990868632726E+000,1.0000000000000004E+001,0.0000000000000000E+000
4.4,-2.7668990868634413E+000,2.7668990868632726E+000,1.0000000000000004E+001,0.0000000000000000E+000
5.4,4.5173336445712486E+000,-8.7521727885403244E-001,6.3578836342826985E+000,0.0000000000000000E+000
6.4,4.5173336445713073E+000,-8.7521727885398182E-001,6.3578836342827465E+000,8.8817841970012523E-016
7.4,4.5173336445712291E+000,-8.7521727885398182E-001,6.3578836342827465E+000,8.8817841970012523E-016
8.4,4.5173336445712096E+000,-8.7521727885398182E-001,6.3578836342827465E+000,8.8817841970012523E-016
9.4,4.5173336445712486E+000,-8.7521727885398182E-001,6.3578836342827465E+000,8.8817841970012523E-016
10.4,-2.7668990868632504E+000,2.7668990868633259E+000,1.0000000000000050E+001,0.0000000000000000E+000
11.4,-2.7668990868631980E+000,2.7668990868633783E+000,1.0000000000000103E+001,1.7763568394002505E-015
12.4,-2.7668990868629821E+000,2.7668990868633783E+000,1.0000000000000103E+001,1.7763568394002505E-015
13.4,-2.7668990868632761E+000,2.7668990868633783E+000,1.0000000000000103E+001,1.7763568394002505E-015
14.4,-2.7668990868635115E+000,2.7668990868633783E+000,1.0000000000000103E+001,1.7763568394002505E-015
15.4,4.5173336445709076E+000,-8.7521727885392586E-001,6.3578836342828007E+000,0.0000000000000000E+000
16.4,4.5173336445708685E+000,-8.7521727885396494E-001,6.3578836342827616E+000,0.0000000000000000E+000
17.4,4.5173336445702414E+000,-8.7521727885396494E-001,6.3578836342827616E+000,0.0000000000000000E+000
18.4,4.5173336445696730E+000,-8.7521727885396494E-001,6.3578836342827616E+000,0.0000000000000000E+000
19.4,4.5173336445691632E+000,-8.7521727885396494E-001,6.3578836342827616E+000,0.0000000000000000E+000
20.4,-2.7668990868658563E+000,2.7668990868633268E+000,1.0000000000000050E+001,0.0000000000000000E+000
21.4,-2.7668990868659868E+000,2.7668990868631962E+000,9.9999999999999183E+000,0.0000000000000000E+000
22.4,-2.7668990868663199E+000,2.7668990868631962E+000,9.9999999999999183E+000,0.0000000000000000E+000
23.4,-2.7668990868665944E+000,2.7668990868631962E+000,9.9999999999999183E+000,0.0000000000000000E+000
24.4,-2.7668990868668097E+000,2.7668990868631966E+000,9.9999999999999183E+000,0.0000000000000000E+000
25,1.6036405519931658E+000,5.8162926743281629E-001,7.8147301805695406E+000,0.0000000000000000E+000
