"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000000E+002
1,-3.2824216450879016E+004,-0.0000000000000000E+000,-4.7140452079103161E+006,4.7140452079103161E+006,2.3570226039551562E+003,-4.7140452079103125E+003,2.3570226039551562E+003,1.6381690555416970E+012
2,3.2819554879381175E+009,-2.9802322387695313E-008,2.9855619650098644E+007,-2.9855619650098614E+007,-1.6410043196066582E+009,3.2820086392132864E+009,-1.6410043196066284E+009,2.6929840866392412E+016
3,4.7253006732033291E+009,1.6015625000000000E-001,-2.7350046851869691E+013,2.7350046851869531E+013,2.9712665195234024E+010,-5.9425330230311646E+010,2.9712665035077618E+010,1.4960486854808178E+024
4,1.8233367478398980E+015,-8.8975762500000000E+005,4.6786103413156100E+014,-4.6786103324180337E+014,-9.1213485603011000E+014,1.8242688223017053E+015,-9.1213396627159525E+014,8.7491730468508569E+027
5,3.2710120730647944E+016,4.9431019704320000E+012,-1.5201774796369553E+019,1.5201769853267583E+019,3.4028338235061912E+016,-6.3113569556594792E+016,2.9085231321532880E+016,4.6218998853893452E+035
6,1.0134767198585917E+021,-2.7461700132059415E+019,5.2447549071282969E+020,-4.9701379058077028E+020,-1.0140266295460873E+021,1.0144961811669843E+021,-4.6955162089698099E+017,3.6042529741930900E+039
7,3.5775744362775168E+022,5.6308451934398132E+024,-1.1269046695137461E+025,5.6382015016976482E+024,5.2675547800060278E+022,-5.2682904100961815E+022,7.3563009015328276E+018,1.9049079640427614E+047
8,7.5129689774041937E+026,-2.8697021869077545E+026,5.7405568608831863E+026,-2.8708546739754318E+026,-7.5215642019188061E+026,7.5215653544047199E+026,-1.1524859152084396E+020,2.1876488007509616E+051
9,3.8871340200324535E+028,4.1783591683551363E+030,-8.3567201422714250E+030,4.1783609739162887E+030,5.1406329233281667E+028,-5.1406331038841009E+028,1.8055593427854751E+021,1.0475658549105047E+059
10,5.5714465900312477E+032,-2.8141234876343551E+032,5.6282472581396565E+032,-2.8141237705053014E+032,-5.5798778094526223E+032,5.5798778097354930E+032,-2.8287073230717066E+022,1.4063866147618586E+063
11,3.7967289183007298E+034,3.0996507038566533E+036,-6.1993014081564711E+036,3.0996507042998178E+036,4.7266156061575176E+034,-4.7266156062018341E+034,4.4316457962679827E+023,5.7651273817626108E+070
12,4.1331630781001016E+038,-2.5949010519132120E+038,5.1898021038958526E+038,-2.5949010519826406E+038,-4.1409395071533251E+038,4.1409395071533946E+038,-6.9513234627841178E+024,9.1650088256824198E+074
13,3.4929264624258019E+040,2.3002624583132844E+042,-4.6005249166266772E+042,2.3002624583133928E+042,4.1829975239958117E+040,-4.1829975239958223E+040,1.0880332376531663E+026,3.1750872672463243E+082
14,3.0672899112442158E+044,-2.3008848887478678E+044,4.6017697774957522E+044,-2.3008848887478844E+044,-3.0741864244341237E+044,3.0741864244341237E+044,0.0000000000000000E+000,5.9989169837301760E+086
15,3.0923787080681284E+046,1.7076512584189718E+048,-3.4153025168379437E+048,1.7076512584189718E+048,3.6046673885477232E+046,-3.6046673885477232E+046,0.0000000000000000E+000,1.7499288264813360E+094
16,2.2771111811849871E+050,-1.9855164810534338E+050,3.9710329621068676E+050,-1.9855164810534338E+050,-2.2830631704537955E+050,2.2830631704537955E+050,0.0000000000000000E+000,3.9209320964320966E+098
17,2.6655669073696219E+052,1.2681698763817811E+054,-2.5363397527635622E+054,1.2681698763817811E+054,3.0460121587050900E+052,-3.0460121587050900E+052,0.0000000000000000E+000,9.6516509346034578E+105
18,1.6911030321319872E+056,-1.6795472782945654E+056,3.3590945565891309E+056,-1.6795472782945654E+056,-1.6961382867255521E+056,1.6961382867255521E+056,0.0000000000000000E+000,2.5504737251280846E+110
19,2.2529207199104161E+058,9.4213109345303274E+059,-1.8842621869060655E+060,9.4213109345303274E+059,2.5355552594703463E+058,-2.5355552594703463E+058,0.0000000000000000E+000,5.3271833518537499E+117
20,1.2563525126262915E+062,-1.3992204998823287E+062,2.7984409997646574E+062,-1.3992204998823287E+062,-1.2605476572257687E+062,1.2605476572257687E+062,0.0000000000000000E+000,1.6482156469536440E+122
21,1.8756744245392161E+064,7.0016433196432764E+065,-1.4003286639286553E+066,7.0016433196432764E+065,2.0857197627343270E+064,-2.0857197627343270E+064,0.0000000000000000E+000,2.9424330544613258E+129
22,9.3370062950756206E+067,-1.1517315581994272E+068,2.3034631163988544E+068,-1.1517315581994272E+068,-9.3715395332757757E+067,9.3715395332757757E+067,0.0000000000000000E+000,1.0574293515249823E+134
23,1.5431086132216126E+070,5.2052591202616756E+071,-1.0410518240523351E+072,5.2052591202616756E+071,1.6992631444577052E+070,-1.6992631444577052E+070,0.0000000000000000E+000,1.6263960794056213E+141
24,6.9415661002043251E+073,-9.3882982113401934E+073,1.8776596422680382E+074,-9.3882982113401883E+073,-6.9697170835551616E+073,6.9697170835551616E+073,0.0000000000000000E+000,6.7339620620463204E+145
25,1.2573238455701480E+076,3.8711262165984001E+077,-7.7422524331968003E+077,3.8711262165984001E+077,1.3734550012892531E+076,-1.3734550012892531E+076,0.0000000000000000E+000,8.9961045045546786E+152
