"time","heatCapacitor_T","switch_Controll"
0,2.9314999999999998E+002,2.0000000000000000E+001,0
1,3.0314998000002998E+002,2.9999980000030007E+001,1
2,3.0214998210392696E+002,2.8999982103926982E+001,1
3,3.0124998399704225E+002,2.8099983997042273E+001,0
4,3.1013209966849695E+002,3.6982099668496971E+001,1
5,3.0843388980828416E+002,3.5283889808284187E+001,0
6,3.1634000759812574E+002,4.3190007598125760E+001,1
7,3.1402100694738346E+002,4.0871006947383478E+001,0
8,3.2117733967489357E+002,4.8027339674893597E+001,0
9,3.2738431977945419E+002,5.4234319779454211E+001,1
10,3.2396088791490826E+002,5.0810887914908278E+001,1
11,3.2087979923547499E+002,4.7729799235475014E+001,0
12,3.2712601504970786E+002,5.3976015049707883E+001,1
13,3.2372841365803532E+002,5.0578413658035345E+001,1
14,3.2067057240419825E+002,4.7520572404198276E+001,0
15,3.2694439025351659E+002,5.3794390253516610E+001,1
16,3.2356495134139197E+002,5.0414951341391998E+001,1
17,3.2052345631915517E+002,4.7373456319155196E+001,0
18,3.2681668823388134E+002,5.3666688233881359E+001,1
19,3.2345001952367022E+002,5.0300019523670244E+001,1
20,3.2042001768316055E+002,4.7270017683160575E+001,0
21,3.2672690273585971E+002,5.3576902735859733E+001,1
22,3.2336921257541553E+002,5.0219212575415554E+001,1
23,3.2034729142969962E+002,4.7197291429699646E+001,0
24,3.2666377726458859E+002,5.3513777264588612E+001,1
25,3.2331239965124678E+002,5.0162399651246801E+001,1
