"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0,0.0000000000000000E+000,1.4699999999999999E+001,1.4699999999999999E+001,8.6000000000000000E+001,8.6000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000
0.01,1.2990572110844047E-005,1.4699949760016064E+001,1.4700062298184045E+001,8.5999486961179613E+001,8.6000637764357350E+001,1.0014732494058156E-008,7.4613388972315975E-008
0.02,2.5033125522570215E-005,1.4699904500546230E+001,1.4700147037348737E+001,8.5999063455401114E+001,8.6001456207880565E+001,7.7559842855334962E-009,1.5663241543411931E-007
0.03,3.4879117567497122E-005,1.4699868760066671E+001,1.4700244928049790E+001,8.5998767561105637E+001,8.6002349190459285E+001,5.7132904152619062E-009,2.2526398119825879E-007
0.03999,4.2670632616831366E-005,1.4699841667319980E+001,1.4700352063659844E+001,8.5998581064443130E+001,8.6003271732362762E+001,3.8881090357800529E-009,2.8119476868453394E-007
0.04999,4.8585907720183283E-005,1.4699822267178492E+001,1.4700465296631302E+001,8.5998486509193384E+001,8.6004189237596265E+001,2.2732860724733761E-009,3.2538623006406572E-007
0.05999,5.2787710161522051E-005,1.4699809698483854E+001,1.4700581580222789E+001,8.5998468368137239E+001,8.6005071249800963E+001,8.6464879300020103E-010,3.5870692010042265E-007
0.06998,5.5450029520768933E-005,1.4699803095628008E+001,1.4700698260676548E+001,8.5998512180728852E+001,8.6005893716623106E+001,-3.4498433386784116E-010,3.8212027507102845E-007
0.07998,5.6754577652029833E-005,1.4699801610675195E+001,1.4700813422037447E+001,8.5998605044623105E+001,8.6006640651806961E+001,-1.3680813352548940E-009,3.9668071981693166E-007
0.08998,5.6871855254685931E-005,1.4699804460642667E+001,1.4700925158863015E+001,8.5998735322852937E+001,8.6007298524875168E+001,-2.2148040178965210E-009,4.0337274129991360E-007
0.09997,5.5971837460176723E-005,1.4699810894869945E+001,1.4701031915801856E+001,8.5998892574465586E+001,8.6007858503408386E+001,-2.8970480374555205E-009,4.0319811808634406E-007
0.10997,5.4213773420937426E-005,1.4699820238774086E+001,1.4701132765689964E+001,8.5999068148782044E+001,8.6008317144282046E+001,-3.4294251631489266E-009,3.9712467667104043E-007
0.11997,5.1750148032759645E-005,1.4699831857362510E+001,1.4701226738144623E+001,8.5999254165806619E+001,8.6008672461193427E+001,-3.8248684514203880E-009,3.8607633092457897E-007
0.12996,4.8725903456373372E-005,1.4699845165959047E+001,1.4701313141940171E+001,8.5999443867828049E+001,8.6008925542966765E+001,-4.0970450363726665E-009,3.7094525211105984E-007
0.13996,4.5265284110502866E-005,1.4699859680916767E+001,1.4701391765199613E+001,8.5999632157602107E+001,8.6009080367175812E+001,-4.2603291580069450E-009,3.5251665584140841E-007
0.14996,4.1489642993269891E-005,1.4699874938276304E+001,1.4701462327846958E+001,8.5999814365553220E+001,8.6009141841867304E+001,-4.3279614492603666E-009,3.3155570117076709E-007
0.15995,3.7509530703677404E-005,1.4699890528772595E+001,1.4701524750140685E+001,8.5999986757471774E+001,8.6009116583186966E+001,-4.3131596617403514E-009,3.0877028785408387E-007
0.16995,3.3411299342377975E-005,1.4699906145781725E+001,1.4701579278397753E+001,8.6000146936670959E+001,8.6009012062970996E+001,-4.2284552006473964E-009,2.8472955035369845E-007
0.17995,2.9281348741124513E-005,1.4699921488308050E+001,1.4701626086121365E+001,8.6000292715632298E+001,8.6008836454975622E+001,-4.0856972800624562E-009,2.6000150015093544E-007
0.18994,2.5194706341231713E-005,1.4699936305663757E+001,1.4701665473656794E+001,8.6000422610788647E+001,8.6008598602236020E+001,-3.8961881377441241E-009,2.3508884828989361E-007
0.19994,2.1203114461843463E-005,1.4699950437160268E+001,1.4701697931274762E+001,8.6000536084766637E+001,8.6008306745961775E+001,-3.6697553903231413E-009,2.1035309200158993E-007
0.20994,1.7360292307771697E-005,1.4699963718985419E+001,1.4701723884527494E+001,8.6000632685071821E+001,8.6007969766041796E+001,-3.4158897431476964E-009,1.8616767703583619E-007
0.21993,1.3709716529338452E-005,1.4699976028522245E+001,1.4701743824975912E+001,8.6000712434303381E+001,8.6007596503184971E+001,-3.1432520494051046E-009,1.6284431948098736E-007
0.22993,1.0275083535860167E-005,1.4699987313557358E+001,1.4701758325998966E+001,8.6000775924132469E+001,8.6007194299361231E+001,-2.8587373302663959E-009,1.4056940969569034E-007
0.23993,7.0830853731369146E-006,1.4699997514293283E+001,1.4701767910828627E+001,8.6000823772346479E+001,8.6006771145114655E+001,-2.5691366342505207E-009,1.1954880482810810E-007
0.24992,4.1521842564280620E-006,1.4700006601323855E+001,1.4701773123351924E+001,8.6000856873575188E+001,8.6006334573038032E+001,-2.2803612167315387E-009,9.9936787960521808E-008
0.25992,1.4857130950442901E-006,1.4700014594392359E+001,1.4701774512161400E+001,8.6000876375533124E+001,8.6005890194508652E+001,-1.9965980725759262E-009,8.1787431397421829E-008
0.26992,-9.0970190182644376E-007,1.4700021504320324E+001,1.4701772592172343E+001,8.6000883434523658E+001,8.6005444294659412E+001,-1.7220862028035941E-009,6.5177219502530952E-008
0.27991,-3.0333768005163112E-006,1.4700027361874580E+001,1.4701767868805277E+001,8.6000879329113189E+001,8.6005002510092780E+001,-1.4602783927096327E-009,5.0143890479958289E-008
0.28991,-4.8949898872092400E-006,1.4700032227469976E+001,1.4701760803872808E+001,8.6000865355758492E+001,8.6004568490944152E+001,-1.2131465014433696E-009,3.6652619320405762E-008
0.29991,-6.5011330660490870E-006,1.4700036153281003E+001,1.4701751840883679E+001,8.6000842824464129E+001,8.6004146570399783E+001,-9.8282046133679263E-010,2.4690576140646783E-008
0.3099,-7.8621817935720922E-006,1.4700039202534233E+001,1.4701741396788297E+001,8.6000813058954847E+001,8.6003740404411090E+001,-7.7079581427677462E-010,1.4218962250073639E-008
0.3199,-8.9946349276346390E-006,1.4700041452194242E+001,1.4701729820370748E+001,8.6000777247314971E+001,8.6003351834291138E+001,-5.7743451914970363E-010,5.1521693454359348E-009
0.3299,-9.9124103341498534E-006,1.4700043130257841E+001,1.4701717661148061E+001,8.6000738253993006E+001,8.6002985526084984E+001,2.6208815054317686E-009,3.9622370300914099E-010
0.33989,-1.0631270272365279E-005,1.4700045507899514E+001,1.4701706798055223E+001,8.6000709325118862E+001,8.6002659229187003E+001,9.0641955554910776E-009,1.0782121521006675E-010
0.34989,-1.1169575586869058E-005,1.4700048646542736E+001,1.4701697448981630E+001,8.6000690181477850E+001,8.6002371764166554E+001,1.4349999127964853E-008,-1.4476451149626223E-010
0.35989,-1.1543852563786726E-005,1.4700052318313757E+001,1.4701689461291776E+001,8.6000677846284475E+001,8.6002118969229770E+001,1.8568011096298271E-008,-3.6360036077209676E-010
