"time","outputs"
0,2.8284271247461902E+002
0.0002,2.7950415444129663E+002
0.0004,2.7618412444103393E+002
0.0006001,2.7291424403655611E+002
0.0008001,2.6970845228061347E+002
0.0010001,2.6655006941558105E+002
0.0012001,2.6339913165602371E+002
0.0014001,2.6019214374529258E+002
0.0016,2.5687504161122109E+002
0.0018,2.5353799044476460E+002
0.002,2.5020858020933647E+002
0.0022001,2.4701597531575044E+002
0.0024001,2.4417896335396830E+002
0.0026001,2.4188298448866198E+002
0.0028001,2.4027886473500214E+002
0.0030001,2.3947754710052814E+002
0.0032001,2.3954746167135175E+002
0.0034001,2.4051294206690437E+002
0.0036001,2.4235372065528037E+002
0.0038001,2.4500551054189211E+002
0.0040001,2.4836165786735253E+002
0.0042001,2.5227582391992362E+002
0.0044001,2.5656563351588306E+002
0.0046001,2.6101720453631287E+002
0.0048001,2.6539045390509102E+002
0.005,2.6942317063862907E+002
0.0052,2.7284542053159555E+002
0.0054,2.7539020966450397E+002
0.0056,2.7689892484949399E+002
0.0058,2.7725939464027482E+002
0.006,2.7640649777913239E+002
0.0062,2.7517100520610802E+002
0.0064,2.7398491190490097E+002
0.0066,2.7291953160961282E+002
0.0068,2.7201864277206010E+002
0.007,2.7129753011084671E+002
0.0072,2.7074275783320326E+002
0.0074,2.7031267703624013E+002
0.0076,2.6993865314368094E+002
0.0078,2.6952698295435169E+002
0.008,2.6896145533038413E+002
0.0082,2.6810649507964337E+002
0.0084,2.6681081650677402E+002
0.0086,2.6491479581124929E+002
0.0088,2.6234360277029111E+002
0.009,2.5945860927992749E+002
0.0092001,2.5673589430927592E+002
0.0094001,2.5434770083118985E+002
0.0096001,2.5243017710959208E+002
0.0098001,2.5108573260570711E+002
0.0100001,2.5037922824839069E+002
0.0102001,2.5033651988175086E+002
0.0104001,2.5094396764625796E+002
0.0106001,2.5214891911410646E+002
0.0108001,2.5386115202574999E+002
0.0110001,2.5595524088844883E+002
0.0112001,2.5827379097760496E+002
0.0114001,2.6063146388501991E+002
0.0116001,2.6281970111152367E+002
0.0118001,2.6461203669121886E+002
0.0120001,2.6578713326232133E+002
0.0122001,2.6623148900262004E+002
0.0124001,2.6587268932172475E+002
0.0126001,2.6473632858192968E+002
0.0128001,2.6361962483150876E+002
0.0130001,2.6278723335166291E+002
0.0132001,2.6231000923216982E+002
0.0134001,2.6222613069580240E+002
0.0136001,2.6254024948435040E+002
0.0138001,2.6322348393374693E+002
0.0140001,2.6421425213276268E+002
0.0142001,2.6541992358085207E+002
0.0144001,2.6671924932474667E+002
0.0146001,2.6796551306810193E+002
0.0148001,2.6899032959945964E+002
0.0150001,2.6960800242569917E+002
0.0152001,2.6962034004680356E+002
0.0154001,2.6885190398541880E+002
0.0156001,2.6725127303272171E+002
0.0158001,2.6499674818874473E+002
0.0160001,2.6280852616464517E+002
0.0162001,2.6087703093651635E+002
0.0164001,2.5931382058060734E+002
0.0166001,2.5819747917887827E+002
0.0168001,2.5757180872408287E+002
0.0170001,2.5744489447256564E+002
0.0172001,2.5778906183608700E+002
0.0174001,2.5854172271642886E+002
0.0176001,2.5960708911318352E+002
0.0178001,2.6085871232184644E+002
0.0180001,2.6214278751755387E+002
0.0182001,2.6328214639823420E+002
0.0184001,2.6408084521506106E+002
0.0186001,2.6433368650148486E+002
0.0188001,2.6391933630307449E+002
0.0190001,2.6279660941470695E+002
0.0192001,2.6110675823161029E+002
0.0194001,2.5958663976521075E+002
0.0196001,2.5841827216882047E+002
0.0198001,2.5768787398472114E+002
0.0200001,2.5744716132846594E+002
0.0202001,2.5771217221057964E+002
0.0204001,2.5846298217829775E+002
0.0206001,2.5964431478064893E+002
0.0208001,2.6116703014862105E+002
0.0210001,2.6291045520904476E+002
0.0212001,2.6472550015416675E+002
0.0214001,2.6643848818546843E+002
0.0216001,2.6785560962730364E+002
0.0218001,2.6876789761170460E+002
0.0220001,2.6896614403830648E+002
0.0222001,2.6834405962346551E+002
0.0224001,2.6686005980796449E+002
0.0226001,2.6493294881979409E+002
0.0228001,2.6318506428211418E+002
0.0230001,2.6173322932212392E+002
0.0232001,2.6066197664686831E+002
0.0234001,2.6002255349004366E+002
0.0236001,2.5983178463705366E+002
0.0238001,2.6007179894207553E+002
0.0240001,2.6069062256457738E+002
0.0242001,2.6160362256445410E+002
0.0244001,2.6269576533601065E+002
0.0246001,2.6382463605543001E+002
0.0248001,2.6482414826842700E+002
0.0250001,2.6550885732904823E+002
0.0252001,2.6567885247436101E+002
0.0254001,2.6517065893035760E+002
0.0256001,2.6393802019702861E+002
0.0258001,2.6205172908973981E+002
