"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.001,9.9900000031706817E+000,9.9999968293183472E-003,4.9090934652977267E-094,9.8181869305954533E-094
0.001,9.9900000031706817E+000,9.9999968293183472E-003,4.9090934652977267E-094,9.8181869305954533E-094
0.002,9.9803141118208902E+000,1.9999995769890658E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.002,9.9803141118208902E+000,1.9999995769890658E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.003,9.9709420317557207E+000,2.9999981030353645E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.003,9.9709420317557207E+000,2.9999981030353645E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.004,9.9618831590998926E+000,3.9999936819365617E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.004,9.9618831590998926E+000,3.9999936819365617E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.005,9.9531365809092698E+000,4.9999847345631426E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.006,9.9447010760873766E+000,5.9999696817927405E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.007,9.9365751166060345E+000,6.9999469445126292E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.008,9.9287568690289056E+000,7.9999149436222161E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.009,9.9212441963364206E+000,8.9998721000355414E-002,4.9090934652977267E-094,9.8181869305954533E-094
0.01,9.9140346600503300E+000,9.9998168346837626E-002,2.3314049521847123E-034,2.9582283945787969E-034
0.011,9.9071255226557398E+000,1.0999747568517657E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.012,9.9005137503182681E+000,1.1999662722510106E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.013,9.8941960158936304E+000,1.2999560717658598E-001,2.3314049521887082E-034,2.9582283945762216E-034
0.014,9.8881687022266878E+000,1.3999439974987715E-001,2.3314049521887082E-034,2.9582283945762216E-034
